iCode	sName	sPrefab	sIcon	iType	iClass	iParts	iOp01	iFGrade	iPrice	iHP	iSP	iSTR	iAGI	iINT	iVIT	iPATK	iMATK	iPDEF	iMDEF	iCRI	iACRI	iHPRG	iSPRG	iHPST	iRSPC	iACC	iDG	iSBLK	iWBLK	iPPEN	iIMDEF	iRSTN	iRSLC	iRSLP	iRPTF	iRFRZ	iRCTA	iRAB	iIHEAL	iUSL	iDR	fATKI	iMat01	iMat01C	iMat02	iMat02C	iMat03	iMat03C	iMat04	iMat04C	sInfo	sDropInfo
100000011	고결의 어깨갑옷	hero01_shoulder_03	hero01_shoulder_03	2	1	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000012	영웅의 어깨갑옷	hero01_shoulder_04	hero01_shoulder_04	2	1	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000013	용맹의 건틀릿	hero01_glove_01	hero01_glove_01	2	1	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000014	무용의 건틀릿	hero01_glove_02	hero01_glove_02	2	1	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000015	고결의 건틀릿	hero01_glove_03	hero01_glove_03	2	1	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000016	영웅의 건틀릿	hero01_glove_04	hero01_glove_04	2	1	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000017	용맹의 장화	hero01_leg_01	hero01_leg_01	2	1	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000018	무용의 신발	hero01_leg_02	hero01_leg_02	2	1	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000019	고결의 장화	hero01_leg_03	hero01_leg_03	2	1	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000020	영웅의 그리브	hero01_leg_04	hero01_leg_04	2	1	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000021	야만의 검	knight_weapon_01	knight_weapon_01	1	1	6	0	1	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000022	벨라레	knight_weapon_02	knight_weapon_02	1	1	6	0	1	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000023	라우벤	knight_weapon_03	knight_weapon_03	1	1	6	0	1	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000024	학살의 검	knight_weapon_04	knight_weapon_04	1	1	6	0	1	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000025	늑대가죽모자	hero02_head_02	hero02_head_01	2	2	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000026	반역의 모자	hero02_head_02	hero02_head_02	2	2	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000027	영혼의 모자	hero02_head_03	hero02_head_03	2	2	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000028	이계의 모자	hero02_head_04	hero02_head_04	2	2	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000029	늑대가죽갑옷	hero02_body_01	hero02_body_01	2	2	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000030	반역의 갑옷	hero02_body_02	hero02_body_02	2	2	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000031	연혼의 갑옷	hero02_body_03	hero02_body_03	2	2	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000032	이계의 갑옷	hero02_body_04	hero02_body_04	2	2	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000033	늑대가죽 어깨갑옷	hero02_shoulder_01	hero02_shoulder_01	2	2	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000034	반역의 어깨갑옷	hero02_shoulder_02	hero02_shoulder_02	2	2	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000035	영혼의 어깨갑옷	hero02_shoulder_03	hero02_shoulder_03	2	2	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000036	이계의 어깨갑옷	hero02_shoulder_04	hero02_shoulder_04	2	2	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000037	늑대가죽 장갑	hero02_glove_01	hero02_glove_01	2	2	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000038	반역의 장갑	hero02_glove_02	hero02_glove_02	2	2	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000039	영혼의 장갑	hero02_glove_03	hero02_glove_03	2	2	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000040	이계의 장갑	hero02_glove_04	hero02_glove_04	2	2	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000041	늑대가죽 부츠	hero02_leg_01	hero02_leg_01	2	2	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000042	반역의 장화	hero02_leg_02	hero02_leg_02	2	2	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000043	영혼의 장화	hero02_leg_03	hero02_leg_03	2	2	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000044	이계의 장화	hero02_leg_04	hero02_leg_04	2	2	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000045	문스톤 석궁	devilhunter_weapon_01	devilhunter_weapon_01	1	2	6	0	1	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000046	천벌의 석궁	devilhunter_weapon_02	devilhunter_weapon_02	1	2	6	0	1	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000047	용사냥 석궁	devilhunter_weapon_03	devilhunter_weapon_03	1	2	6	0	1	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000048	악마의 눈	devilhunter_weapon_04	devilhunter_weapon_04	1	2	6	0	1	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000049	블루문 머리장식	hero03_head_02	hero03_head_01	2	3	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000050	정령의 머리카락	hero03_head_02	hero03_head_02	2	3	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000051	광휘의 머리장식	hero03_head_03	hero03_head_03	2	3	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000052	마녀의 서클릿	hero03_head_04	hero03_head_04	2	3	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000053	블루문 드레스	hero03_body_01	hero03_body_01	2	3	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000054	정령의 로브	hero03_body_02	hero03_body_02	2	3	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000055	광휘의 로브	hero03_body_03	hero03_body_03	2	3	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000056	마녀의 드레스	hero03_body_04	hero03_body_04	2	3	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000057	블루문 어깨덮게	hero03_shoulder_01	hero03_shoulder_01	2	3	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000058	정령의 어깨갑옷	hero03_shoulder_02	hero03_shoulder_02	2	3	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000059	광휘의 경갑	hero03_shoulder_03	hero03_shoulder_03	2	3	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000060	마녀의 어깨가리게	hero03_shoulder_04	hero03_shoulder_04	2	3	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000061	블루문 장갑	hero03_glove_01	hero03_glove_01	2	3	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000062	정령의 장갑	hero03_glove_02	hero03_glove_02	2	3	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000063	광휘의 장갑	hero03_glove_03	hero03_glove_03	2	3	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000064	마녀의 장갑	hero03_glove_04	hero03_glove_04	2	3	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000065	블루문 부츠	hero03_leg_01	hero03_leg_01	2	3	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000066	정령의 장화	hero03_leg_02	hero03_leg_02	2	3	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000067	광휘의 부츠	hero03_leg_03	hero03_leg_03	2	3	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000068	마녀의 롱부츠	hero03_leg_04	hero03_leg_04	2	3	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000069	아쿠아마린	magician_weapon_01	magician_weapon_01	1	3	6	0	1	100	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000070	문라이트퓨펄	magician_weapon_02	magician_weapon_02	1	3	6	0	1	100	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000071	현자의 지팡이	magician_weapon_03	magician_weapon_03	1	3	6	0	1	100	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000072	마녀의 스태프	magician_weapon_04	magician_weapon_04	1	3	6	0	1	100	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000073	근위대 투구	hero04_head_02	hero04_head_01	2	4	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000074	심판의 투구	hero04_head_02	hero04_head_02	2	4	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000075	대주교의 투구	hero04_head_03	hero04_head_03	2	4	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000076	수호자 투구	hero04_head_04	hero04_head_04	2	4	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000077	근위대 갑옷	hero04_body_01	hero04_body_01	2	4	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000078	심판의 갑옷	hero04_body_02	hero04_body_02	2	4	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000079	대주교 갑옷	hero04_body_03	hero04_body_03	2	4	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000080	수호자 갑옷	hero04_body_04	hero04_body_04	2	4	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000081	근위대 경갑	hero04_shoulder_01	hero04_shoulder_01	2	4	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000082	심판의 어깨갑옷	hero04_shoulder_02	hero04_shoulder_02	2	4	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000083	대주교 어깨보호대	hero04_shoulder_03	hero04_shoulder_03	2	4	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000084	수호자 어깨갑옷	hero04_shoulder_04	hero04_shoulder_04	2	4	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000085	근위대 건틀릿	hero04_glove_01	hero04_glove_01	2	4	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000086	심판의 건틀릿	hero04_glove_02	hero04_glove_02	2	4	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000087	대주교 건틀릿	hero04_glove_03	hero04_glove_03	2	4	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000088	수호자 건틀릿	hero04_glove_04	hero04_glove_04	2	4	4	0	1	100	0	0	0	0	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000089	근위대 그리브	hero04_leg_01	hero04_leg_01	2	4	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000090	심판의 장화	hero04_leg_02	hero04_leg_02	2	4	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000091	대주교 부츠	hero04_leg_03	hero04_leg_03	2	4	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000092	수호자 그리브	hero04_leg_04	hero04_leg_04	2	4	5	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000093	왕의 수호자	paladin_weapon_01	paladin_weapon_01	1	4	6	0	1	100	0	0	0	0	0	0	0	100	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000094	응징자	paladin_weapon_02	paladin_weapon_02	1	4	6	0	1	100	0	0	0	0	0	0	0	100	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000095	구원의 빛	paladin_weapon_03	paladin_weapon_03	1	4	6	0	1	100	0	0	0	0	0	0	0	100	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000096	심판관의 해머	paladin_weapon_04	paladin_weapon_04	1	4	6	0	1	100	0	0	0	0	0	0	0	100	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000097	해탈의 모자	hero05_head_02	hero05_head_01	2	5	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000098	호신의 모자	hero05_head_02	hero05_head_02	2	5	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000099	용호의 모자	hero05_head_03	hero05_head_03	2	5	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000100	심안의 모자	hero05_head_04	hero05_head_04	2	5	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000101	해탈의 갑옷	hero05_body_01	hero05_body_01	2	5	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000102	호신의 갑옷	hero05_body_02	hero05_body_02	2	5	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000103	용호의 갑옷	hero05_body_03	hero05_body_03	2	5	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000104	심안의 갑옷	hero05_body_04	hero05_body_04	2	5	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
